Region,Flooded Area Impacted
Kwahu Afram Plains South,9.75
Mamprugu Moagduri,6.55
East Gonja,4.57
Builsa South,3.99
Kwahu Afram Plains North,3.37
Upper Manya,3.24
Gonja Central,2.6
Sene East,2.59
Kwahu South,2.19
Kwahu South,2.19
Kwahu South,2.19
Nzema East,2.16
Savelugu Nanton,2.05
Asuogyaman,1.93
Krachi West,1.44
Tamale North Sub Metro,1.43
Komenda Edna Eguafo / Abirem,1.43
Sissala East,1.37
Jomoro,1.32
Chereponi,1.27
Krachi East,1.19
Wassa East,1.15
Lower Manya,1.15
Pru,1.13
Prestea / Huni Valley,1.06
Ga South,1.04
West Mamprusi,0.98
Keta Municipal,0.95
Sissala  West,0.95
Ada East,0.95
Kumbumgu,0.83
Wa East,0.82
Ahanta West,0.76
South Dayi,0.76
Shama,0.72
West Gonja,0.69
Saboba,0.67
Nanumba North,0.67
North Gonja,0.61
Karaga,0.61
Mfantsiman,0.57
Gomoa West,0.54
Ellembelle,0.53
Tolon,0.53
Tarkwa Nsuaem,0.5
Ekumfi,0.49
Kintampo North,0.45
Fanteakwa,0.44
Effutu,0.44
Ada West,0.43
Aowin,0.42
Nkwanta North,0.41
Kpandai,0.4
Daffiama Bussie,0.39
Nkwanta South,0.37
Kasena Nankana East,0.33
Kasena Nankana East,0.33
Kasena Nankana East,0.33
Wassa Amenfi West,0.29
Binduri,0.29
Tatale,0.28
Ketu South,0.27
Bawku West,0.27
Bongo,0.24
Sagnerigu,0.22
Talensi,0.21
Nanumba South,0.2
Gushiegu,0.2
Twifo Lower Denkyira,0.2
Twifo Ati-Morkwa,0.17
Nabdam,0.16
Builsa North,0.15
Cape Coast Metro,0.15
Kwahu East,0.14
Zabzugu,0.14
Awutu Senya West,0.13
Awutu Senya West,0.13
Mion,0.12
Mion,0.12
Bolgatanga Municipal,0.12
Gomoa East,0.12
Wassa Amenfi Central,0.11
Wassa Amenfi East,0.11
Accra Metropolis,0.1
Ningo Prampram,0.1
Asutifi North,0.09
South Tongu,0.08
Krachi Nchumuru,0.08
Sene West,0.07
Mamprusi East,0.07
Bunkpurugu Yonyo,0.06
Biakoye,0.05
Jirapa,0.05
Kasena Nankana West,0.05
Kasena Nankana West,0.05
Sekondi Takoradi,0.04
Bole,0.03
Denkyembour,0.03
Garu Tempane,0.03
Ajumako / Enyan / Esiam,0.03
North Tongu,0.02
Mpohor,0.01
Afadzato South,0.01
North Dayi,0.01
Nadowli / Kaleo,0.01
Nandom,0.01
Birim Municipal,0.01
Yendi Municipal,0.01
Asante Akim North,0.01
Shai Osu Doku,0.01
Abura / Asebu / Kwamankese,0.01
Upper Denkyira West,0.01
Awutu Senya East Municipal,0.01
Banda,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Sefwi-Wiawso,0
Juabeso,0
Bia East,0
Suaman,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Kintampo South,0
Techiman Municipal,0
Nkoranza South,0
Nkoranza North,0
Atebubu Amantin,0
Techiman North,0
Ho Municipal,0
Ho West,0
Ho Municipal,0
Agotime Ziope,0
Ho Municipal,0
Central Tongu,0
Ho West,0
Kpando Municipal,0
Akatsi North,0
Ketu North,0
Hohoe Municipal,0
Akatsi South,0
Adaklu,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Tano South,0
Tano North,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Lawra,0
Lambussie Karni,0
Wa West,0
Wa Municipal,0
Sawla / Tuna / Kalba,0
Kwaebibirem,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Ayensuano,0
East Akim,0
Birim South,0
West Akim,0
Atiwa,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
Akwapem South,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Sekyere South,0
Sekyere Kumawu,0
Mampong Municipal,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Offinso North,0
Ejisu Juaben,0
Adansi North,0
Amansie Central,0
Obuasi Municipal,0
Sekyere Central,0
Sekyere Afram Plains North,0
Amansie West,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Ahafo Ano South,0
Ejura Sekye Dumase,0
Adansi South,0
Atwima Mponua,0
Atwima Nwabiagya,0
Bekwai Municipal,0
Afigya Kwabre,0
Pusiga,0
Bawku Municipal,0
Ledzokuku / Krowor,0
Adenta,0
Kpone Katamanso,0
Tema Metropolis,0
La Nkwantanang Madina,0
Ga Central Municipal,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Agona West,0
Asikuma / Odoben / Brakwa,0
Upper Denkyira East,0
Assin North,0
Agona East,0
Sunyani West,0
Dormaa Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Dormaa East,0
Wenchi,0
Sunyani Municipal,0
Tain,0
