Region,Crops Impacted
Savelugu Nanton,6.91
West Mamprusi,6.37
Karaga,5.96
Mamprugu Moagduri,2.9
East Gonja,1.69
Gushiegu,1.65
Kumbumgu,1.5
Builsa South,0.99
Gonja Central,0.97
Binduri,0.94
Kasena Nankana East,0.8
Kasena Nankana East,0.8
Kasena Nankana East,0.8
Akatsi South,0.55
Bawku Municipal,0.55
Pusiga,0.51
Pru,0.47
Bunkpurugu Yonyo,0.45
Tolon,0.4
Chereponi,0.37
Garu Tempane,0.35
Talensi,0.3
Saboba,0.28
Bole,0.27
South Tongu,0.26
Sissala East,0.25
Kpandai,0.21
Nkwanta North,0.17
Krachi Nchumuru,0.17
Bawku West,0.17
Sene West,0.16
Nanumba North,0.16
Amansie West,0.16
Nkwanta South,0.15
Mamprusi East,0.15
Fanteakwa,0.15
Tamale North Sub Metro,0.15
Sene East,0.14
Sissala  West,0.14
Awutu Senya West,0.14
Awutu Senya West,0.14
Wenchi,0.12
Yendi Municipal,0.11
Atiwa,0.1
Nanumba South,0.1
Upper Denkyira West,0.1
Kintampo North,0.08
Agotime Ziope,0.08
Ketu North,0.08
Builsa North,0.07
Wassa Amenfi East,0.06
Atebubu Amantin,0.06
Central Tongu,0.06
Gomoa East,0.06
Wassa Amenfi Central,0.05
Kintampo South,0.05
Kwahu Afram Plains South,0.05
Kasena Nankana West,0.05
Kasena Nankana West,0.05
Shai Osu Doku,0.05
Banda,0.05
Sefwi-Wiawso,0.04
Akatsi North,0.04
Lambussie Karni,0.04
Wa East,0.04
West Gonja,0.04
North Gonja,0.04
Mion,0.04
Mion,0.04
Amansie Central,0.04
Tain,0.04
Wassa Amenfi West,0.03
Nkoranza North,0.03
Ho West,0.03
Ho West,0.03
Keta Municipal,0.03
Krachi West,0.03
Krachi East,0.03
Sawla / Tuna / Kalba,0.03
Kwahu Afram Plains North,0.03
Upper Manya,0.03
Sagnerigu,0.03
Mampong Municipal,0.03
Ahafo Ano South,0.03
Ejura Sekye Dumase,0.03
Aowin,0.02
Wassa East,0.02
North Tongu,0.02
Tano North,0.02
Jirapa,0.02
Wa West,0.02
Sekyere Central,0.02
Atwima Nwabiagya,0.02
Ningo Prampram,0.02
Sunyani West,0.02
Juabeso,0.01
Suaman,0.01
Tarkwa Nsuaem,0.01
Nzema East,0.01
Shama,0.01
Prestea / Huni Valley,0.01
Ho Municipal,0.01
Ho Municipal,0.01
Ho Municipal,0.01
Ketu South,0.01
Adaklu,0.01
Wa Municipal,0.01
Denkyembour,0.01
Kwaebibirem,0.01
Birim Municipal,0.01
East Akim,0.01
Kwahu South,0.01
Kwahu South,0.01
Akwapem South,0.01
Kwahu East,0.01
Kwahu South,0.01
Tatale,0.01
Zabzugu,0.01
Offinso North,0.01
Ejisu Juaben,0.01
Obuasi Municipal,0.01
Sekyere Afram Plains North,0.01
Adansi South,0.01
Atwima Mponua,0.01
Bekwai Municipal,0.01
Afigya Kwabre,0.01
Kpone Katamanso,0.01
La Nkwantanang Madina,0.01
Ada West,0.01
Ga South,0.01
Agona West,0.01
Gomoa West,0.01
Mfantsiman,0.01
Ekumfi,0.01
Assin North,0.01
Dormaa Municipal,0.01
Dormaa East,0.01
Sefwi Bibiani / Anhwiaso Bekwai,0
Bia East,0
Bia West,0
Bodi,0
Sefwi Akontombra,0
Ahanta West,0
Sekondi Takoradi,0
Jomoro,0
Ellembelle,0
Mpohor,0
Techiman Municipal,0
Nkoranza South,0
Techiman North,0
Kpando Municipal,0
Afadzato South,0
Hohoe Municipal,0
North Dayi,0
South Dayi,0
Asunafo North,0
Asunafo South,0
Asutifi South,0
Asutifi North,0
Tano South,0
Kadjebi,0
Jasikan,0
Kadjebi,0
Biakoye,0
Nadowli / Kaleo,0
Lawra,0
Nandom,0
Daffiama Bussie,0
Yilo Krobo,0
Akwapem North,0
Upper West Akim,0
Lower Manya,0
Ayensuano,0
Birim South,0
West Akim,0
Asuogyaman,0
Nsawam Adoagyiri,0
Suhum Municipal,0
Akyem Mansa,0
New Juaben Municipal,0
Birim North,0
Kwahu West,0
Asokore Mampong Municipal,0
Kwabre,0
Bosome Freho,0
Asante Akim South,0
Asante Akim North,0
Sekyere South,0
Sekyere Kumawu,0
Bosome Freho,0
Asante Akim Central Municipal,0
Sekyere East,0
Adansi North,0
Ahafo Ano North,0
Kma,0
Bosomtwe / Atwima / Kwanwoma,0
Atwima Kwanwoma,0
Offinso Municipal,0
Bongo,0
Bolgatanga Municipal,0
Nabdam,0
Ledzokuku / Krowor,0
Adenta,0
Tema Metropolis,0
Accra Metropolis,0
Ga Central Municipal,0
Ada East,0
Ga West,0
Ashaiman,0
Ga East,0
La Dade Kotopon,0
Assin South,0
Ajumako / Enyan / Esiam,0
Twifo Ati-Morkwa,0
Abura / Asebu / Kwamankese,0
Komenda Edna Eguafo / Abirem,0
Cape Coast Metro,0
Effutu,0
Asikuma / Odoben / Brakwa,0
Twifo Lower Denkyira,0
Upper Denkyira East,0
Agona East,0
Awutu Senya East Municipal,0
Dormaa West,0
Jaman South,0
Jaman North,0
Berekum,0
Sunyani Municipal,0
