Region,Avg Impact Per Year - People
Abura / Asebu / Kwamankese,0.0
Kwabre,0.0
Kwahu East,0.0
Kwahu West,0.0
La Dade Kotopon,0.0
Lambussie Karni,0.0
Lawra,0.0
Kpando Municipal,0.0
Ledzokuku / Krowor,0.0
Mamprusi East,0.0
Mion,0.0
Mpohor,0.0
Nabdam,0.0
Nandom,0.0
Nanumba South,0.0
Mampong Municipal,0.0
Kma,0.0
Kintampo South,0.0
Yilo Krobo,0.0
Ejura Sekye Dumase,0.0
Ga East,0.0
Ga West,0.0
Gushiegu,0.0
Ho Municipal,0.0
Ho West,0.0
Hohoe Municipal,0.0
Jaman North,0.0
Jaman South,0.0
Jasikan,0.0
Juabeso,0.0
Kadjebi,0.0
Karaga,0.0
Kasena Nankana West,0.0
Ketu North,0.0
New Juaben Municipal,0.0
Nkoranza North,0.0
Nkoranza South,0.0
North Dayi,0.0
Tain,0.0
Talensi,0.0
Tano North,0.0
Tano South,0.0
Tatale,0.0
Techiman Municipal,0.0
Techiman North,0.0
Tolon,0.0
Twifo Lower Denkyira,0.0
Upper Denkyira East,0.0
Upper West Akim,0.0
Wa Municipal,0.0
Wenchi,0.0
West Akim,0.0
West Gonja,0.0
Sunyani West,0.0
Effutu,0.0
Sunyani Municipal,0.0
Suaman,0.0
Nsawam Adoagyiri,0.0
Offinso Municipal,0.0
Offinso North,0.0
Pusiga,0.0
Sawla / Tuna / Kalba,0.0
Sefwi Akontombra,0.0
Sefwi-Wiawso,0.0
Sekondi Takoradi,0.0
Sekyere Afram Plains North,0.0
Sekyere Central,0.0
Sekyere East,0.0
Sekyere Kumawu,0.0
Sekyere South,0.0
Sissala  West,0.0
Sissala East,0.0
Suhum Municipal,0.0
East Akim,0.0
Zabzugu,0.0
Dormaa Municipal,0.0
Assin South,0.0
Asunafo North,0.0
Asunafo South,0.0
Asutifi North,0.0
Dormaa West,0.0
Atebubu Amantin,0.0
Atwima Kwanwoma,0.0
Atwima Nwabiagya,0.0
Awutu Senya East Municipal,0.0
Awutu Senya West,0.0
Ayensuano,0.0
Bawku Municipal,0.0
Bawku West,0.0
Bekwai Municipal,0.0
Berekum,0.0
Assin North,0.0
Bia East,0.0
Asokore Mampong Municipal,0.0
Ashaiman,0.0
Adaklu,0.0
Adansi North,0.0
Afadzato South,0.0
Afigya Kwabre,0.0
Agona West,0.0
Agotime Ziope,0.0
Ahafo Ano North,0.0
Ahafo Ano South,0.0
Ajumako / Enyan / Esiam,0.0
Akatsi North,0.0
Akwapem North,0.0
Akwapem South,0.0
Akyem Mansa,0.0
Asante Akim North,0.0
Asante Akim South,0.0
Asikuma / Odoben / Brakwa,0.0
Bia West,0.0
Asutifi South,0.0
Bolgatanga Municipal,0.0
Bongo,0.0
Bosome Freho,0.0
Chereponi,0.0
Bodi,0.0
Dormaa East,0.0
Birim South,0.0
Birim Municipal,0.0
Denkyembour,0.0
Bunkpurugu Yonyo,0.0
Daffiama Bussie,0.010000000000000002
Sagnerigu,0.015
Tarkwa Nsuaem,0.020000000000000004
Nadowli / Kaleo,0.020000000000000004
La Nkwantanang Madina,0.020000000000000004
Builsa South,0.020000000000000004
Kwaebibirem,0.022500000000000003
Garu Tempane,0.022500000000000003
Akatsi South,0.022500000000000003
Gomoa East,0.025
Kpone Katamanso,0.025
Lower Manya,0.025833333333333333
Jirapa,0.028000000000000004
Birim North,0.0325
Binduri,0.03266666666666667
Banda,0.04000000000000001
Saboba,0.04000000000000001
Adenta,0.04000000000000001
Ga Central Municipal,0.042
Asante Akim Central Municipal,0.044833333333333336
Wassa Amenfi West,0.04666666666666667
Ejisu Juaben,0.0475
Ellembelle,0.05
Agona East,0.05600000000000001
Adansi South,0.07
Kumbumgu,0.07100000000000001
Wa East,0.07933333333333334
Wassa Amenfi East,0.08300000000000002
Bole,0.0875
Tamale North Sub Metro,0.088
Shai Osu Doku,0.0975
Biakoye,0.10600000000000001
Wa West,0.12016666666666666
Wassa Amenfi Central,0.14
Kasena Nankana East,0.14833333333333337
North Tongu,0.154
Gomoa West,0.1725
Nanumba North,0.18750000000000003
Fanteakwa,0.2
Aowin,0.20500000000000002
Ningo Prampram,0.22000000000000003
Mamprugu Moagduri,0.225
Tema Metropolis,0.22500000000000003
Prestea / Huni Valley,0.24033333333333332
Builsa North,0.2546666666666667
Yendi Municipal,0.26
Atiwa,0.27
Bosomtwe / Atwima / Kwanwoma,0.27
Nkwanta North,0.27
Sefwi Bibiani / Anhwiaso Bekwai,0.2853333333333333
Obuasi Municipal,0.29500000000000004
Savelugu Nanton,0.299
Ahanta West,0.37000000000000005
Pru,0.37250000000000005
Nzema East,0.3773333333333334
Atwima Mponua,0.399
Amansie Central,0.4086666666666667
Upper Denkyira West,0.413
North Gonja,0.4913333333333334
Kwahu South,0.6
Wassa East,0.7200000000000001
Upper Manya,0.76
Twifo Ati-Morkwa,0.8125
South Tongu,0.8590000000000002
Cape Coast Metro,0.8603333333333334
Amansie West,1.1471666666666667
Asuogyaman,1.1573333333333335
Kintampo North,1.1805
Nkwanta South,1.312
Central Tongu,1.3195000000000003
Mfantsiman,1.3875000000000002
South Dayi,1.5726666666666667
Sene West,1.6
Shama,1.62
Krachi West,2.5555000000000003
Krachi East,3.1916666666666673
West Mamprusi,3.6976666666666667
Kwahu Afram Plains South,3.7225
Kpandai,3.834666666666667
Ekumfi,4.066333333333334
Jomoro,4.335
Kwahu Afram Plains North,5.2775
Ada East,5.362333333333334
Krachi Nchumuru,5.783333333333333
Sene East,7.945
Ketu South,11.931
Keta Municipal,15.89366666666667
Ada West,23.737333333333332
Accra Metropolis,30.744500000000002
Komenda Edna Eguafo / Abirem,42.764666666666656
East Gonja,55.17483333333333
Gonja Central,68.57883333333334
Ga South,81.64466666666665
