Date,"Ghana Cumulative Rainfall, Month to Date (mm)",Ghana Historical Average of Cumulative Monthly Rainfall (mm),Ghana Rainfall (mm),Western North Rainfall (mm)
2020-07-15,26,139.0,26,0
2020-07-16,35,,9,0
2020-07-17,69,,34,0
2020-07-18,79,,10,9
2020-07-19,84,,5,3
2020-07-20,94,,10,1
2020-07-21,115,139.0,21,21
2020-07-22,8,139.0,8,6
2020-07-23,46,,38,1
2020-07-24,53,,7,0
2020-07-25,62,,9,1
2020-07-26,71,,9,0
2020-07-27,75,,4,3
2020-07-28,83,139.0,8,8
2020-08-05,0,123.0,0,0
2020-08-06,0,,0,0
2020-08-07,6,,6,0
2020-08-08,7,,1,0
2020-08-09,10,,3,0
2020-08-10,16,,6,0
2020-08-11,20,123.0,4,0
2020-08-12,1,123.0,1,0
2020-08-13,2,,1,0
2020-08-14,30,,28,2
2020-08-15,54,,24,1
2020-08-16,61,,7,0
2020-08-17,65,,4,0
2020-08-18,82,123.0,17,0
2020-08-19,1,123.0,1,1
2020-08-20,5,,4,0
2020-08-21,42,,37,1
2020-08-22,46,,4,1
2020-08-23,47,,1,1
2020-08-24,87,,40,0
2020-08-25,102,123.0,15,0
2020-08-26,4,123.0,4,0
2020-08-27,39,,35,16
2020-08-28,50,,11,6
2020-08-29,54,,4,1
2020-08-30,58,,4,1
2020-08-31,75,123.0,17,0
2020-09-01,25,110.0,25,0
2020-09-02,16,110.0,16,1
2020-09-03,21,,5,1
2020-09-04,27,,6,1
2020-09-05,65,,38,0
2020-09-06,85,,20,0
2020-09-07,101,,16,0
2020-09-08,127,110.0,26,2
2020-09-09,32,110.0,32,11
2020-09-10,38,,6,3
2020-09-11,48,,10,4
2020-09-12,63,,15,6
2020-09-13,89,,26,24
2020-09-14,94,,5,5
2020-09-15,137,110.0,43,13
2020-09-16,20,110.0,20,11
2020-09-17,38,,18,8
2020-09-18,43,,5,1
2020-09-19,58,,15,2
2020-09-20,79,,21,17
2020-09-21,81,,2,2
2020-09-22,95,110.0,14,0
2020-09-23,10,110.0,10,8
2020-09-24,19,,9,9
2020-09-25,73,,54,0
2020-09-26,101,,28,6
2020-09-27,116,,15,15
2020-09-28,124,,8,11
2020-09-29,152,110.0,28,1
2020-09-30,35,110.0,35,6
2020-10-01,33,137.0,33,7
2020-10-02,34,,1,1
2020-10-03,55,,21,0
2020-10-04,72,,17,16
2020-10-05,86,,14,7
2020-10-06,117,137.0,31,11
2020-10-07,20,137.0,20,20
2020-10-08,27,,7,3
2020-10-09,47,,20,33
2020-10-10,60,,13,6
2020-10-11,73,,13,13
2020-10-12,84,,11,3
2020-10-13,93,137.0,9,5
2020-10-14,12,137.0,12,12
2020-10-15,20,,8,7
2020-10-16,41,,21,21
2020-10-17,74,,33,33
2020-10-18,84,,10,10
2020-10-19,116,,32,7
2020-10-20,131,137.0,15,21
