Region,Avg Impact Per Year - Crops
Abura / Asebu / Kwamankese,0.0
Kwabre,0.0
Sekyere East,0.0
Sekyere South,0.0
Kma,0.0
Suaman,0.0
Sunyani Municipal,0.0
Sunyani West,0.0
Kadjebi,0.0
Juabeso,0.0
Berekum,0.0
Bia East,0.0
Bia West,0.0
Tano North,0.0
Jasikan,0.0
Asunafo South,0.0
Jaman South,0.0
Bodi,0.0
Jaman North,0.0
Hohoe Municipal,0.0
Upper West Akim,0.0
Ho West,0.0
Tano South,0.0
Twifo Lower Denkyira,0.0
Ga East,0.0
Ga Central Municipal,0.0
Techiman Municipal,0.0
Techiman North,0.0
Dormaa East,0.0
Dormaa Municipal,0.0
Dormaa West,0.0
Birim South,0.0
Asunafo North,0.0
Sekyere Kumawu,0.0
Offinso North,0.0
Mpohor,0.0
Sefwi Akontombra,0.0
Agona West,0.0
Mampong Municipal,0.0
Ledzokuku / Krowor,0.0
Assin South,0.0
Sefwi-Wiawso,0.0
Nkoranza South,0.0
Akwapem North,0.0
Offinso Municipal,0.0
Akyem Mansa,0.0
La Dade Kotopon,0.0
Asokore Mampong Municipal,0.0
Asikuma / Odoben / Brakwa,0.0
Sekyere Afram Plains North,0.0
Adansi North,0.0
Ashaiman,0.0
Sekondi Takoradi,0.0
Tain,0.0005
Asutifi South,0.0005
Agotime Ziope,0.0005
Cape Coast Metro,0.0005
New Juaben Municipal,0.0005
Asante Akim South,0.0005
Wenchi,0.0005
Suhum Municipal,0.0005
Ayensuano,0.0005
Ho Municipal,0.0005
Accra Metropolis,0.0005
Nkoranza North,0.0005
Afigya Kwabre,0.0005
La Nkwantanang Madina,0.0006666666666666666
Komenda Edna Eguafo / Abirem,0.0006666666666666666
Bosomtwe / Atwima / Kwanwoma,0.0006666666666666666
Ahafo Ano North,0.001
Ajumako / Enyan / Esiam,0.001
East Akim,0.001
Ejisu Juaben,0.001
Birim Municipal,0.0011666666666666665
Akwapem South,0.0011666666666666665
Kwahu West,0.0015
Sekyere Central,0.0015
Tema Metropolis,0.0015
Ahafo Ano South,0.0015
Asante Akim Central Municipal,0.0016666666666666666
Bosome Freho,0.0016666666666666666
Agona East,0.0016666666666666666
Nsawam Adoagyiri,0.0021666666666666666
Aowin,0.0021666666666666666
Upper Denkyira East,0.0021666666666666666
Gomoa East,0.0021666666666666666
Bekwai Municipal,0.0025
West Akim,0.0026666666666666666
Kwaebibirem,0.0026666666666666666
Ejura Sekye Dumase,0.003
Atwima Kwanwoma,0.003333333333333333
Atwima Nwabiagya,0.0034999999999999996
Ellembelle,0.004
Nabdam,0.004166666666666667
Gomoa West,0.005
Sagnerigu,0.005166666666666667
Akatsi North,0.005666666666666667
Ga West,0.005666666666666667
Daffiama Bussie,0.006
Adaklu,0.006166666666666667
Birim North,0.007
Shama,0.0071666666666666675
Awutu Senya East Municipal,0.007666666666666667
Yilo Krobo,0.008666666666666666
Assin North,0.008833333333333334
Asutifi North,0.009166666666666667
Adansi South,0.009333333333333334
Twifo Ati-Morkwa,0.009666666666666667
Awutu Senya West,0.0105
Lower Manya,0.0105
Denkyembour,0.010833333333333332
Wa Municipal,0.011333333333333332
Ahanta West,0.011666666666666667
Adenta,0.011666666666666669
Wassa Amenfi West,0.012
Amansie Central,0.013833333333333333
Mfantsiman,0.015500000000000002
Kwahu East,0.0165
Kintampo South,0.01666666666666667
Pusiga,0.016833333333333336
Jomoro,0.019833333333333335
Sefwi Bibiani / Anhwiaso Bekwai,0.02
Nzema East,0.02
Atebubu Amantin,0.021
Wassa Amenfi Central,0.021166666666666667
Kpando Municipal,0.022666666666666665
Afadzato South,0.026333333333333334
Obuasi Municipal,0.026333333333333337
Sissala  West,0.027666666666666666
Wassa Amenfi East,0.028666666666666667
Ningo Prampram,0.028833333333333336
Kpone Katamanso,0.03233333333333333
Upper Denkyira West,0.033
Prestea / Huni Valley,0.033666666666666664
Lambussie Karni,0.03483333333333333
Tarkwa Nsuaem,0.03933333333333334
Gushiegu,0.04016666666666666
Sawla / Tuna / Kalba,0.04133333333333333
Effutu,0.041666666666666664
North Dayi,0.04383333333333333
Bawku Municipal,0.04650000000000001
Atiwa,0.04766666666666666
Akatsi South,0.048
South Dayi,0.0555
Tatale,0.05616666666666666
Asuogyaman,0.059833333333333336
Wassa East,0.060833333333333336
Atwima Mponua,0.061166666666666675
West Gonja,0.07283333333333333
Bolgatanga Municipal,0.073
Mamprusi East,0.08083333333333334
North Tongu,0.08533333333333334
Central Tongu,0.0855
Amansie West,0.08766666666666666
Zabzugu,0.08766666666666667
Nandom,0.10083333333333334
Ekumfi,0.10500000000000001
Wa East,0.1165
Builsa North,0.12199999999999998
Ketu North,0.12566666666666668
Shai Osu Doku,0.12616666666666668
South Tongu,0.12633333333333335
Nkwanta South,0.13133333333333336
Wa West,0.13416666666666666
Bunkpurugu Yonyo,0.1495
Sissala East,0.15
Kasena Nankana West,0.1635
Ga South,0.16533333333333336
Bongo,0.18016666666666667
Keta Municipal,0.20283333333333334
Kwahu South,0.21300000000000002
Asante Akim North,0.22416666666666663
Jirapa,0.22833333333333333
Nadowli / Kaleo,0.2335
Biakoye,0.25566666666666665
Upper Manya,0.2781666666666667
Tamale North Sub Metro,0.2806666666666667
Talensi,0.2921666666666667
Bawku West,0.32300000000000006
Binduri,0.3443333333333333
Banda,0.346
Garu Tempane,0.36783333333333335
Sene West,0.38316666666666666
Fanteakwa,0.3841666666666667
Yendi Municipal,0.4115
Lawra,0.46716666666666673
Nkwanta North,0.47733333333333333
Mion,0.48283333333333334
Nanumba South,0.5686666666666667
Ada East,0.5938333333333333
Kasena Nankana East,0.7378333333333333
Krachi West,0.7446666666666666
Ketu South,0.8341666666666666
Bole,1.0226666666666666
Gonja Central,1.0493333333333332
North Gonja,1.0725
Builsa South,1.0798333333333334
Krachi Nchumuru,1.2846666666666666
Kwahu Afram Plains South,1.3165
Sene East,1.3731666666666666
Ada West,1.5825
Krachi East,1.5915
Chereponi,1.5941666666666667
Nanumba North,1.6135000000000002
Kintampo North,1.6273333333333333
Tolon,1.7766666666666666
Kpandai,2.3024999999999998
Kwahu Afram Plains North,2.690166666666667
Karaga,2.8098333333333336
Saboba,2.861666666666667
Pru,3.462833333333333
Mamprugu Moagduri,3.902833333333333
Kumbumgu,4.662166666666667
East Gonja,6.930666666666666
West Mamprusi,7.509499999999999
Savelugu Nanton,7.578333333333332
